Date,Fund Name,Fund Ticker Symbol,Security Description,Security Ticker,Shares,Mkt Value,Weight %

Securities
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Zoom Video Communications-A,ZM US,50665,24903874.1,0.027683
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Fastly Inc - Class A,FSLY US,173423,21946680.65,0.0243958
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Cloudflare Inc - Class A,NET US,372437,21232633.37,0.023602
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Sprout Social Inc - Class A,SPT US,430379,20899204.24,0.0232314
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Paylocity Holding Corp,PCTY,107377,20264187.44,0.0225255
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Datadog Inc - Class A,DDOG US,171337,19224011.4,0.0213693
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Crowdstrike Holdings Inc - A,CRWD US,131536,19198994.56,0.0213415
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Blackline Inc,BL US,192438,19009025.64,0.0211303
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Twilio Inc - A,TWLO US,57636,19003741.92,0.0211244
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Salesforce.com Inc,CRM UN,71004,18963038.28,0.0210792
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Zendesk Inc,ZEN US,168291,18924322.95,0.0210361
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Anaplan Inc,PLAN US,300638,18877060.02,0.0209836
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Paycom Software Inc,PAYC UN,50475,18516249,0.0205825
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Avalara Inc,AVLR US,119534,18269576.56,0.0203083
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Square Inc - A,SQ US,95128,17614851.76,0.0195805
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Workday Inc,WDAY UQ,76480,17451971.2,0.0193995
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Elastic Nv,ESTC US,139293,17411625,0.0193546
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Tenable Holdings Inc,TENB US,418353,17349098.91,0.0192851
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Okta Inc,OKTA UQ,70411,17289421.05,0.0192188
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Bill.Com Holdings Inc,BILL US,149562,17250481.08,0.0191755
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Atlassian Corp Plc-Class A,TEAM US,88357,17165114.39,0.0190806
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Veeva Systems Inc-Class A,VEEV US,54777,16825303.32,0.0187029
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,ServiceNow Inc,NOW UN,32768,16681861.12,0.0185434
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Smartsheet Inc-Class A,SMAR US,305368,16673092.8,0.0185337
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Five9 Inc,FIVN US,116656,16638645.28,0.0184954
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Hubspot Inc,HUBS US,51082,16486204.68,0.0183259
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Zscaler Inc,ZS US,107876,16305457.4,0.018125
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Domo Inc - Class B,DOMO US,390721,16113334.04,0.0179115
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Docusign Inc,DOCU US,69415,16094561.9,0.0178906
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,New Relic Inc,NEWR US,250884,16056576,0.0178484
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Adobe Inc,ADBE US,31056,15866199.84,0.0176367
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Workiva Inc,WK US,261121,15803042.92,0.0175665
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Slack Technologies Inc- Cl A,WORK US,496086,15770573.94,0.0175304
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Shopify Inc - Class A,SHOP US,14347,15638230,0.0173833
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Mimecast Ltd,MIME US,315352,15288264.96,0.0169943
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Pagerduty Inc,PD US,499539,15121045.53,0.0168084
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,PayPal Holdings Inc,PYPL UQ,74662,15045139.62,0.0167241
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Coupa Software Inc,COUP UQ,48455,14873262.25,0.016533
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Wix.Com Ltd,WIX US,51000,14818560,0.0164722
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Q2 Holdings Inc,QTWO US,149838,14753049.48,0.0163994
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Box Inc - Class A,BOX US,816361,14727152.44,0.0163706
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Proofpoint Inc,PFPT UQ,131987,14671674.92,0.0163089
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,SVMK Inc,SVMK US,630174,14626338.54,0.0162585
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Dropbox Inc-Class A,DBX US,720773,14437083.19,0.0160481
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Realpage Inc,RP US,243760,14415966.4,0.0160247
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Appfolio Inc,APPF UQ,86696,14391536,0.0159975
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Ringcentral Inc-Class A,RNG UN,49766,14250494.1,0.0158407
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Medallia Inc,MDLA US,453111,14218623.18,0.0158053
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Qualys Inc,QLYS UQ,138365,14158890.45,0.0157389
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Yext Inc,YEXT US,827519,13885768.82,0.0154353
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,2U Inc,TWOU US,376129,13847189.14,0.0153924
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Everbridge Inc,EVBG US,105513,13827478.65,0.0153705
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Zuora Inc - Class A,ZUO US,1244547,13640235.12,0.0151624
10/12/2020,WisdomTree Cloud Computing Fund ,WCLD,Pluralsight Inc - A,PS US,694001,12894538.58,0.0143335